[1125/211915.267:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[1125/213109.998:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112331.130:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112336.146:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112341.165:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112346.179:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112351.197:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112356.216:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112401.231:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112406.245:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112411.260:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112416.271:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112421.284:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112426.299:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112431.313:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112436.328:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112441.342:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112446.356:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112451.371:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112456.385:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112501.400:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112506.414:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112511.429:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112516.443:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112521.458:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112526.466:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112531.480:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112534.843:WARNING:angle_platform_impl.cc(52)] compileToBinary(230): 
C:\fakepath(69,8-58): warning X3571: pow(f, e) will not work for negative f, use abs(f) or conditionally handle negative values if you expect them
C:\fakepath(77,9-43): warning X3571: pow(f, e) will not work for negative f, use abs(f) or conditionally handle negative values if you expect them

[1126/112536.485:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112541.489:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112546.503:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112551.518:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112556.532:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112601.547:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112606.561:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112611.576:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112616.590:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112621.605:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112626.619:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112631.633:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112636.648:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112641.662:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112646.677:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112651.691:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1126/112656.706:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
